order_id,date,daypart,drink_type,barista,wait_minutes
POS-0813-11,2026-08-13,late,latte,Marcus,5.7
POS-0813-12,2026-08-13,late,latte,Marcus,7.0
POS-0814-01,2026-08-14,early,americano,Marcus,4.6
POS-0814-02,2026-08-14,early,americano,Riley,5.9
POS-0814-03,2026-08-14,early,cappuccino,Marcus,5.9
POS-0814-04,2026-08-14,early,mocha,Riley,6.0
POS-0814-05,2026-08-14,early,mocha,Marcus,5.5
POS-0814-06,2026-08-14,early,americano,Marcus,6.8
POS-0814-07,2026-08-14,late,mocha,Marcus,7.4
POS-0814-08,2026-08-14,late,latte,Marcus,6.6
POS-0814-09,2026-08-14,late,americano,Marcus,5.6
POS-0814-10,2026-08-14,late,mocha,Marcus,7.4
POS-0814-11,2026-08-14,late,latte,Marcus,5.8
POS-0814-12,2026-08-14,late,cappuccino,Marcus,7.2
POS-0817-01,2026-08-17,early,americano,Riley,5.7
POS-0817-02,2026-08-17,early,cappuccino,Riley,6.8
POS-0817-03,2026-08-17,early,latte,Riley,7.0
POS-0817-04,2026-08-17,early,latte,Marcus,5.9
POS-0817-05,2026-08-17,early,latte,Riley,5.5
POS-0817-06,2026-08-17,early,mocha,Riley,6.0
POS-0817-07,2026-08-17,late,americano,Marcus,5.5
POS-0817-08,2026-08-17,late,mocha,Marcus,7.2
POS-0817-09,2026-08-17,late,latte,Marcus,5.9
POS-0817-10,2026-08-17,late,latte,Marcus,7.5
POS-0817-11,2026-08-17,late,americano,Riley,5.9
POS-0817-12,2026-08-17,late,latte,Marcus,5.3
POS-0818-01,2026-08-18,early,cappuccino,Riley,4.4
POS-0818-02,2026-08-18,early,latte,Marcus,5.5
POS-0818-03,2026-08-18,early,latte,Riley,7.3
POS-0818-04,2026-08-18,early,latte,Riley,5.9
POS-0818-05,2026-08-18,early,latte,Marcus,5.3
POS-0818-06,2026-08-18,early,cappuccino,Marcus,6.4
POS-0818-07,2026-08-18,late,cappuccino,Marcus,6.1
POS-0818-08,2026-08-18,late,cappuccino,Marcus,6.3
POS-0818-09,2026-08-18,late,latte,Marcus,4.5
POS-0818-10,2026-08-18,late,latte,Marcus,6.1
POS-0818-11,2026-08-18,late,mocha,Riley,5.8
POS-0818-12,2026-08-18,late,americano,Marcus,5.4
POS-0819-01,2026-08-19,early,cappuccino,Marcus,7.6
POS-0819-02,2026-08-19,early,latte,Marcus,6.1
POS-0819-03,2026-08-19,early,cappuccino,Riley,6.3
POS-0819-04,2026-08-19,early,mocha,Marcus,6.4
POS-0819-05,2026-08-19,early,cappuccino,Marcus,6.0
POS-0819-06,2026-08-19,early,americano,Marcus,6.2
POS-0819-07,2026-08-19,late,cappuccino,Riley,6.9
POS-0819-08,2026-08-19,late,americano,Marcus,6.1
POS-0819-09,2026-08-19,late,latte,Marcus,5.6
POS-0819-10,2026-08-19,late,latte,Marcus,6.9
POS-0819-11,2026-08-19,late,latte,Marcus,8.2
POS-0819-12,2026-08-19,late,americano,Riley,6.7
POS-0820-01,2026-08-20,early,mocha,Riley,4.9
POS-0820-02,2026-08-20,early,americano,Marcus,6.6
POS-0820-03,2026-08-20,early,americano,Riley,4.4
POS-0820-04,2026-08-20,early,americano,Marcus,6.3
POS-0820-05,2026-08-20,early,latte,Riley,6.0
POS-0820-06,2026-08-20,early,mocha,Riley,6.8
POS-0820-07,2026-08-20,late,latte,Riley,7.1
POS-0820-08,2026-08-20,late,latte,Riley,6.4
POS-0820-09,2026-08-20,late,mocha,Riley,6.9
POS-0820-10,2026-08-20,late,americano,Riley,4.4
POS-0820-11,2026-08-20,late,cappuccino,Marcus,6.1
POS-0820-12,2026-08-20,late,americano,Riley,5.7
POS-0821-01,2026-08-21,early,cappuccino,Marcus,4.9
POS-0821-02,2026-08-21,early,americano,Marcus,6.3
POS-0821-03,2026-08-21,early,cappuccino,Riley,5.2
POS-0821-04,2026-08-21,early,latte,Riley,5.7
POS-0821-05,2026-08-21,early,mocha,Riley,6.4
POS-0821-06,2026-08-21,early,latte,Marcus,5.6
POS-0821-07,2026-08-21,late,cappuccino,Marcus,4.3
POS-0821-08,2026-08-21,late,americano,Marcus,5.3
POS-0821-09,2026-08-21,late,americano,Marcus,5.9
POS-0821-10,2026-08-21,late,mocha,Marcus,5.9
POS-0821-11,2026-08-21,late,latte,Marcus,5.6
POS-0821-12,2026-08-21,late,cappuccino,Marcus,6.5
