order_id,date,shift,order_type,trim_misalign,wrong_paper,ink_smudge,wrong_quantity,reject_any
PO-0629-042,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-043,2026-06-29,evening,other,0,0,0,0,0
PO-0629-044,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-045,2026-06-29,evening,other,0,0,0,0,0
PO-0629-046,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-047,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-048,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-049,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-050,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-051,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-052,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-053,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-054,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-055,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-056,2026-06-29,day,other,0,0,0,0,0
PO-0629-057,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-058,2026-06-29,day,other,0,0,0,0,0
PO-0629-059,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-060,2026-06-29,evening,program-booklet,0,0,0,0,0
PO-0629-061,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-062,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-063,2026-06-29,evening,flyer-poster,0,0,0,0,0
PO-0629-064,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-065,2026-06-29,day,other,0,0,0,0,0
PO-0629-066,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-067,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-068,2026-06-29,day,flyer-poster,1,0,0,0,1
PO-0629-069,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-070,2026-06-29,day,other,0,0,0,0,0
PO-0629-071,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-072,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0629-073,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-074,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-075,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-076,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-077,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-078,2026-06-29,evening,course-packet,0,0,0,0,0
PO-0629-079,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-080,2026-06-29,day,course-packet,0,0,0,0,0
PO-0629-081,2026-06-29,day,flyer-poster,0,0,0,0,0
PO-0629-082,2026-06-29,evening,flyer-poster,0,0,0,0,0
PO-0629-083,2026-06-29,day,program-booklet,0,0,0,0,0
PO-0630-001,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-002,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-003,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-004,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-005,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-006,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-007,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-008,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-009,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-010,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-011,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-012,2026-06-30,day,program-booklet,0,1,0,0,1
PO-0630-013,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-014,2026-06-30,evening,program-booklet,0,0,0,0,0
PO-0630-015,2026-06-30,day,program-booklet,0,0,0,0,0
PO-0630-016,2026-06-30,evening,program-booklet,0,0,0,0,0
PO-0630-017,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-018,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-019,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-020,2026-06-30,evening,other,0,0,0,0,0
PO-0630-021,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-022,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-023,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-024,2026-06-30,evening,other,0,0,0,0,0
PO-0630-025,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-026,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-027,2026-06-30,day,program-booklet,0,0,0,0,0
PO-0630-028,2026-06-30,day,program-booklet,0,0,0,0,0
PO-0630-029,2026-06-30,day,other,0,0,0,0,0
PO-0630-030,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-031,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-032,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-033,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-034,2026-06-30,day,other,0,0,0,0,0
PO-0630-035,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-036,2026-06-30,evening,other,0,0,0,0,0
PO-0630-037,2026-06-30,evening,flyer-poster,1,0,0,0,1
PO-0630-038,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-039,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-040,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-041,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-042,2026-06-30,evening,flyer-poster,1,0,0,0,1
PO-0630-043,2026-06-30,evening,other,0,0,0,0,0
PO-0630-044,2026-06-30,evening,flyer-poster,1,0,0,0,1
PO-0630-045,2026-06-30,evening,other,0,0,0,0,0
PO-0630-046,2026-06-30,evening,program-booklet,0,0,0,0,0
PO-0630-047,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-048,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-049,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-050,2026-06-30,day,other,0,0,0,0,0
PO-0630-051,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-052,2026-06-30,day,program-booklet,0,0,0,0,0
PO-0630-053,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-054,2026-06-30,evening,program-booklet,0,0,0,0,0
PO-0630-055,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-056,2026-06-30,evening,program-booklet,0,0,0,0,0
PO-0630-057,2026-06-30,day,flyer-poster,0,0,0,0,0
PO-0630-058,2026-06-30,day,other,0,0,0,0,0
PO-0630-059,2026-06-30,day,other,0,0,0,0,0
PO-0630-060,2026-06-30,evening,flyer-poster,0,1,0,0,1
PO-0630-061,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-062,2026-06-30,evening,course-packet,1,0,0,0,1
PO-0630-063,2026-06-30,day,other,0,0,0,0,0
PO-0630-064,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-065,2026-06-30,evening,other,0,0,0,0,0
PO-0630-066,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-067,2026-06-30,day,other,0,0,0,0,0
PO-0630-068,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-069,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-070,2026-06-30,evening,course-packet,1,0,0,0,1
PO-0630-071,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-072,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-073,2026-06-30,evening,other,0,0,0,0,0
PO-0630-074,2026-06-30,day,other,0,0,0,0,0
PO-0630-075,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0630-076,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-077,2026-06-30,day,course-packet,0,0,0,0,0
PO-0630-078,2026-06-30,evening,flyer-poster,0,0,0,0,0
PO-0630-079,2026-06-30,evening,course-packet,0,0,0,0,0
PO-0701-001,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-002,2026-07-01,day,other,0,0,0,0,0
PO-0701-003,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-004,2026-07-01,evening,other,0,1,0,0,1
PO-0701-005,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-006,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-007,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-008,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-009,2026-07-01,day,other,0,0,0,0,0
PO-0701-010,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-011,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-012,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-013,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-014,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-015,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-016,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-017,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-018,2026-07-01,day,program-booklet,1,0,0,0,1
PO-0701-019,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-020,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-021,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-022,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-023,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-024,2026-07-01,evening,course-packet,0,0,1,0,1
PO-0701-025,2026-07-01,evening,other,0,0,0,0,0
PO-0701-026,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-027,2026-07-01,day,other,0,0,0,0,0
PO-0701-028,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-029,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-030,2026-07-01,evening,other,0,1,0,0,1
PO-0701-031,2026-07-01,evening,other,0,0,0,0,0
PO-0701-032,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-033,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-034,2026-07-01,day,other,0,0,0,0,0
PO-0701-035,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-036,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-037,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-038,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-039,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-040,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-041,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-042,2026-07-01,evening,program-booklet,0,0,1,0,1
PO-0701-043,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-044,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-045,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-046,2026-07-01,evening,other,0,0,0,0,0
PO-0701-047,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-048,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-049,2026-07-01,day,other,0,0,0,0,0
PO-0701-050,2026-07-01,evening,other,0,0,0,1,1
PO-0701-051,2026-07-01,evening,course-packet,0,1,0,0,1
PO-0701-052,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-053,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-054,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-055,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-056,2026-07-01,day,other,1,0,0,0,1
PO-0701-057,2026-07-01,day,flyer-poster,0,0,0,0,0
PO-0701-058,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-059,2026-07-01,day,other,0,0,0,0,0
PO-0701-060,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-061,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-062,2026-07-01,day,other,0,0,0,0,0
PO-0701-063,2026-07-01,evening,other,0,0,0,0,0
PO-0701-064,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-065,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-066,2026-07-01,evening,other,0,0,0,0,0
PO-0701-067,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-068,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-069,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-070,2026-07-01,day,program-booklet,0,0,0,0,0
PO-0701-071,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-072,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-073,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-074,2026-07-01,evening,program-booklet,0,0,0,0,0
PO-0701-075,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0701-076,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-077,2026-07-01,day,course-packet,0,0,0,0,0
PO-0701-078,2026-07-01,day,other,0,0,0,0,0
PO-0701-079,2026-07-01,evening,course-packet,0,0,0,0,0
PO-0701-080,2026-07-01,evening,flyer-poster,0,0,0,0,0
PO-0702-001,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-002,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-003,2026-07-02,day,program-booklet,0,1,0,0,1
PO-0702-004,2026-07-02,evening,other,0,0,0,0,0
PO-0702-005,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-006,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-007,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-008,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-009,2026-07-02,evening,flyer-poster,0,0,0,0,0
PO-0702-010,2026-07-02,evening,flyer-poster,0,0,0,0,0
PO-0702-011,2026-07-02,day,other,0,0,0,0,0
PO-0702-012,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-013,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-014,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-015,2026-07-02,evening,program-booklet,0,0,0,0,0
PO-0702-016,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-017,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-018,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-019,2026-07-02,day,other,0,0,0,0,0
PO-0702-020,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-021,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-022,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-023,2026-07-02,day,program-booklet,0,1,0,0,1
PO-0702-024,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-025,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-026,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-027,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-028,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-029,2026-07-02,day,other,0,0,0,0,0
PO-0702-030,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-031,2026-07-02,evening,flyer-poster,0,0,0,0,0
PO-0702-032,2026-07-02,day,other,0,0,0,0,0
PO-0702-033,2026-07-02,evening,program-booklet,0,0,0,0,0
PO-0702-034,2026-07-02,evening,program-booklet,0,0,0,0,0
PO-0702-035,2026-07-02,evening,other,0,0,0,0,0
PO-0702-036,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-037,2026-07-02,day,other,0,0,0,0,0
PO-0702-038,2026-07-02,day,other,0,0,0,0,0
PO-0702-039,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-040,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-041,2026-07-02,evening,other,0,0,0,0,0
PO-0702-042,2026-07-02,day,other,0,0,0,0,0
PO-0702-043,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-044,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-045,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-046,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-047,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-048,2026-07-02,evening,course-packet,0,0,0,0,0
PO-0702-049,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-050,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-051,2026-07-02,day,other,0,0,0,0,0
PO-0702-052,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-053,2026-07-02,day,program-booklet,0,0,0,0,0
PO-0702-054,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-055,2026-07-02,evening,other,0,0,0,0,0
PO-0702-056,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-057,2026-07-02,day,flyer-poster,0,0,0,0,0
PO-0702-058,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-059,2026-07-02,day,course-packet,0,0,0,0,0
PO-0702-060,2026-07-02,day,flyer-poster,1,0,0,0,1
PO-0702-061,2026-07-02,evening,other,0,0,0,0,0
PO-0702-062,2026-07-02,evening,program-booklet,0,0,0,0,0
PO-0702-063,2026-07-02,evening,program-booklet,0,0,0,0,0
PO-0703-001,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-002,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-003,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-004,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-005,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-006,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-007,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-008,2026-07-03,evening,other,0,0,0,0,0
PO-0703-009,2026-07-03,evening,other,0,0,0,0,0
PO-0703-010,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-011,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-012,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-013,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-014,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-015,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-016,2026-07-03,evening,other,0,0,0,0,0
PO-0703-017,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-018,2026-07-03,day,other,0,0,0,0,0
PO-0703-019,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-020,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-021,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-022,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-023,2026-07-03,evening,other,0,0,0,0,0
PO-0703-024,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-025,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-026,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-027,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-028,2026-07-03,day,other,0,0,0,0,0
PO-0703-029,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-030,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-031,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-032,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-033,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-034,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-035,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-036,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-037,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-038,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-039,2026-07-03,day,other,1,0,0,0,1
PO-0703-040,2026-07-03,day,other,0,0,0,0,0
PO-0703-041,2026-07-03,evening,other,0,0,0,0,0
PO-0703-042,2026-07-03,evening,other,0,1,0,0,1
PO-0703-043,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-044,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-045,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-046,2026-07-03,day,other,0,0,0,0,0
PO-0703-047,2026-07-03,day,other,0,0,0,0,0
PO-0703-048,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-049,2026-07-03,evening,program-booklet,0,0,0,0,0
PO-0703-050,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-051,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-052,2026-07-03,day,other,0,0,0,0,0
PO-0703-053,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-054,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-055,2026-07-03,day,other,0,0,0,0,0
PO-0703-056,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-057,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-058,2026-07-03,day,other,0,0,0,0,0
PO-0703-059,2026-07-03,day,other,0,0,0,0,0
PO-0703-060,2026-07-03,evening,program-booklet,0,0,0,0,0
PO-0703-061,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-062,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-063,2026-07-03,day,other,0,0,0,0,0
PO-0703-064,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-065,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-066,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-067,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-068,2026-07-03,evening,program-booklet,0,0,0,0,0
PO-0703-069,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-070,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-071,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-072,2026-07-03,evening,flyer-poster,0,0,0,0,0
PO-0703-073,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-074,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-075,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-076,2026-07-03,evening,other,1,0,0,0,1
PO-0703-077,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-078,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-079,2026-07-03,day,course-packet,0,1,0,0,1
PO-0703-080,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-081,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-082,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-083,2026-07-03,day,flyer-poster,0,0,0,0,0
PO-0703-084,2026-07-03,day,other,0,0,0,0,0
PO-0703-085,2026-07-03,day,program-booklet,0,0,0,0,0
PO-0703-086,2026-07-03,evening,program-booklet,0,0,0,0,0
PO-0703-087,2026-07-03,evening,course-packet,0,0,0,0,0
PO-0703-088,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-089,2026-07-03,day,course-packet,0,0,0,0,0
PO-0703-090,2026-07-03,evening,program-booklet,0,0,0,0,0
PO-0704-001,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-002,2026-07-04,day,other,0,0,0,0,0
PO-0704-003,2026-07-04,day,flyer-poster,0,0,0,0,0
PO-0704-004,2026-07-04,evening,course-packet,0,0,0,0,0
PO-0704-005,2026-07-04,evening,program-booklet,0,0,0,0,0
PO-0704-006,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-007,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-008,2026-07-04,evening,course-packet,0,0,0,0,0
PO-0704-009,2026-07-04,day,course-packet,0,0,0,0,0
PO-0704-010,2026-07-04,day,other,0,0,0,0,0
PO-0704-011,2026-07-04,evening,other,0,0,0,0,0
PO-0704-012,2026-07-04,evening,course-packet,0,0,0,0,0
PO-0704-013,2026-07-04,day,other,0,0,0,0,0
PO-0704-014,2026-07-04,day,flyer-poster,0,0,0,0,0
PO-0704-015,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-016,2026-07-04,day,flyer-poster,0,0,0,0,0
PO-0704-017,2026-07-04,evening,flyer-poster,0,0,0,0,0
PO-0704-018,2026-07-04,evening,course-packet,0,0,0,0,0
PO-0704-019,2026-07-04,day,program-booklet,0,1,0,0,1
PO-0704-020,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-021,2026-07-04,day,program-booklet,0,0,0,0,0
PO-0704-022,2026-07-04,day,program-booklet,1,0,0,0,1
PO-0704-023,2026-07-04,day,flyer-poster,0,0,0,0,0
PO-0704-024,2026-07-04,day,flyer-poster,0,0,0,0,0
PO-0704-025,2026-07-04,evening,program-booklet,0,0,0,0,0
PO-0704-026,2026-07-04,evening,program-booklet,0,0,0,0,0
PO-0704-027,2026-07-04,evening,flyer-poster,0,0,0,0,0
PO-0704-028,2026-07-04,evening,flyer-poster,0,0,0,0,0
PO-0704-029,2026-07-04,evening,program-booklet,0,0,0,0,0
PO-0704-030,2026-07-04,day,course-packet,0,0,0,0,0
PO-0704-031,2026-07-04,evening,course-packet,0,0,0,0,0
PO-0704-032,2026-07-04,day,flyer-poster,0,0,0,0,0
