ticket_id,date,request_type,channel,tech,resolution_hours
HD-0724-04,2026-07-24,software_install,portal,B.O.,18.3
HD-0724-05,2026-07-24,software_install,portal,L.F.,25.1
HD-0724-06,2026-07-24,access_grant,email,L.F.,33.2
HD-0727-01,2026-07-27,software_install,portal,B.O.,24.2
HD-0727-02,2026-07-27,password_reset,portal,M.D.,15.9
HD-0727-03,2026-07-27,software_install,email,M.D.,24.7
HD-0727-04,2026-07-27,access_grant,email,M.D.,39.8
HD-0727-05,2026-07-27,password_reset,portal,B.O.,24.9
HD-0728-01,2026-07-28,password_reset,portal,L.F.,32.5
HD-0728-02,2026-07-28,access_grant,email,M.D.,33.6
HD-0728-03,2026-07-28,software_install,portal,B.O.,15.9
HD-0728-04,2026-07-28,password_reset,portal,L.F.,22.2
HD-0728-05,2026-07-28,access_grant,portal,M.D.,25.3
HD-0728-06,2026-07-28,software_install,email,L.F.,20.9
HD-0728-07,2026-07-28,software_install,portal,B.O.,26.9
HD-0729-01,2026-07-29,software_install,email,L.F.,29.0
HD-0729-02,2026-07-29,access_grant,email,M.D.,29.5
HD-0729-03,2026-07-29,access_grant,portal,B.O.,36.9
HD-0729-04,2026-07-29,software_install,email,L.F.,16.0
HD-0729-05,2026-07-29,access_grant,email,L.F.,35.9
HD-0729-06,2026-07-29,software_install,portal,L.F.,29.2
HD-0729-07,2026-07-29,software_install,portal,B.O.,23.6
HD-0730-01,2026-07-30,software_install,email,M.D.,28.8
HD-0730-02,2026-07-30,software_install,portal,B.O.,25.3
HD-0730-03,2026-07-30,software_install,portal,B.O.,18.0
HD-0730-04,2026-07-30,software_install,email,M.D.,28.6
HD-0730-05,2026-07-30,software_install,portal,L.F.,16.9
HD-0730-06,2026-07-30,access_grant,email,M.D.,33.9
HD-0731-01,2026-07-31,access_grant,email,L.F.,24.3
HD-0731-02,2026-07-31,access_grant,portal,L.F.,27.6
HD-0731-03,2026-07-31,access_grant,portal,B.O.,27.6
HD-0731-04,2026-07-31,software_install,email,L.F.,24.8
HD-0731-05,2026-07-31,password_reset,portal,B.O.,28.6
HD-0731-06,2026-07-31,software_install,portal,B.O.,26.1
HD-0731-07,2026-07-31,password_reset,portal,M.D.,15.1
HD-0731-08,2026-07-31,software_install,portal,L.F.,27.9
