ticket_id,date,request_type,channel,tech,resolution_hours
HD-1001-05,2026-10-01,access_grant,portal,B.O.,8.6
HD-1001-06,2026-10-01,access_grant,email,B.O.,9.8
HD-1002-01,2026-10-02,password_reset,email,M.D.,6.6
HD-1002-02,2026-10-02,access_grant,portal,L.F.,7.9
HD-1002-03,2026-10-02,password_reset,portal,B.O.,3.1
HD-1002-04,2026-10-02,software_install,email,M.D.,9.6
HD-1002-05,2026-10-02,software_install,portal,B.O.,2.9
HD-1005-01,2026-10-05,software_install,email,B.O.,5.5
HD-1005-02,2026-10-05,software_install,portal,B.O.,4.9
HD-1005-03,2026-10-05,software_install,portal,B.O.,3.2
HD-1005-04,2026-10-05,access_grant,portal,L.F.,6.2
HD-1005-05,2026-10-05,software_install,email,M.D.,9.5
HD-1006-01,2026-10-06,access_grant,email,L.F.,11.1
HD-1006-02,2026-10-06,software_install,portal,L.F.,8.8
HD-1006-03,2026-10-06,software_install,email,M.D.,8.9
HD-1006-04,2026-10-06,software_install,portal,M.D.,4.6
HD-1006-05,2026-10-06,password_reset,email,L.F.,7.5
HD-1006-06,2026-10-06,software_install,portal,L.F.,8.8
HD-1006-07,2026-10-06,access_grant,portal,L.F.,6.0
HD-1006-08,2026-10-06,password_reset,email,L.F.,8.4
HD-1007-01,2026-10-07,access_grant,email,B.O.,6.9
HD-1007-02,2026-10-07,software_install,portal,B.O.,5.9
HD-1007-03,2026-10-07,password_reset,email,B.O.,7.5
HD-1007-04,2026-10-07,software_install,portal,M.D.,7.3
HD-1007-05,2026-10-07,access_grant,portal,B.O.,10.3
HD-1008-01,2026-10-08,password_reset,portal,M.D.,5.5
HD-1008-02,2026-10-08,access_grant,portal,M.D.,7.5
HD-1008-03,2026-10-08,password_reset,portal,L.F.,5.9
HD-1008-04,2026-10-08,password_reset,portal,M.D.,6.8
HD-1008-05,2026-10-08,software_install,portal,L.F.,5.9
HD-1008-06,2026-10-08,software_install,portal,B.O.,8.0
HD-1009-01,2026-10-09,password_reset,email,M.D.,5.6
HD-1009-02,2026-10-09,software_install,portal,B.O.,8.8
HD-1009-03,2026-10-09,password_reset,portal,M.D.,6.4
HD-1009-04,2026-10-09,password_reset,email,B.O.,8.9
HD-1009-05,2026-10-09,access_grant,portal,L.F.,8.2
HD-1009-06,2026-10-09,access_grant,email,L.F.,13.8
